0	0	0.827917	2.28855
6	-2	5.52991	252.12
12	-4	9.491	13240
14	2	8.2777	3935.14
16	0	7.38128	1605.64
18	-4	10.2212	27478.6
18	-2	14.0595	1.2763e+06
18	0	10.4285	33808.8
18	2	14.035	1.24546e+06
18	4	8.57677	5306.95
20	-2	9.51467	13557.2
20	2	9.37495	11789.3
20	4	12.9191	408048
22	0	16.4973	1.46114e+07
22	2	12.5406	279464
22	6	8.2612	3870.73
24	4	17.5426	4.1557e+07
26	0	15.249	4.19324e+06
26	4	14.2349	1.5211e+06
26	8	7.335	1533.03
28	4	16.9552	2.30962e+07
30	6	20.7113	9.88129e+08
32	-2	20.0435	5.06717e+08
32	2	19.9032	4.40414e+08
32	6	18.3413	9.23698e+07
32	10	11.9262	151176
34	-4	23.8444	2.26727e+10
34	2	22.3493	5.08362e+09
34	6	20.9708	1.28086e+09
36	2	24.5658	4.6642e+10
36	8	23.7305	2.02315e+10
36	12	22.218	4.45821e+09
38	-6	25.5739	1.27827e+11
38	4	24.0795	2.8682e+10
38	6	25.6069	1.32109e+11
38	8	22.1218	4.04922e+09
38	12	15.8547	7.68413e+06
40	-10	25.5619	1.26298e+11
40	-6	26.9914	5.27477e+11
40	-2	27.5762	9.46614e+11
40	0	26.8187	4.43806e+11
40	4	26.3038	2.65223e+11
42	-14	24.9239	6.67312e+10
42	-4	28.2785	1.91069e+12
42	-2	28.098	1.5951e+12
42	0	28.6554	2.7854e+12
42	4	28.2371	1.83324e+12
42	6	27.5581	9.29718e+11
42	8	26.9106	4.86533e+11
42	10	26.522	3.29894e+11
44	-8	28.7343	3.01406e+12
44	-4	29.7789	8.56644e+12
44	0	30.0556	1.1297e+13
44	2	28.7932	3.19678e+12
44	6	27.8132	1.19982e+12
44	8	28.6802	2.85536e+12
44	12	26.4063	2.93842e+11
44	14	19.4157	2.70466e+08
46	-12	28.3504	2.05308e+12
46	-4	30.7339	2.22627e+13
46	0	31.0049	2.91916e+13
46	2	30.7007	2.1535e+13
46	4	30.7434	2.24745e+13
46	6	29.843	9.13336e+12
46	10	27.9231	1.33924e+12
46	14	23.2859	1.29695e+10
48	-16	27.4554	8.38971e+11
48	-12	29.2081	4.84068e+12
48	-10	30.0056	1.07469e+13
48	-8	30.4796	1.72639e+13
48	-6	31.5676	5.12423e+13
48	-4	31.3494	4.11972e+13
48	-2	32.2285	9.92356e+13
48	0	31.6692	5.67235e+13
48	2	32.228	9.91845e+13
48	6	31.5382	4.97561e+13
48	8	30.4467	1.67039e+13
48	10	29.9747	1.04196e+13
48	12	29.185	4.73021e+12
48	14	26.6625	3.79629e+11
48	16	27.3882	7.84399e+11
50	-14	29.2483	5.03947e+12
50	-10	31.6355	5.48412e+13
50	-2	33.4345	3.31443e+14
50	0	32.8769	1.89785e+14
50	2	33.4108	3.23687e+14
50	8	31.2294	3.65385e+13
50	14	29.1826	4.71884e+12
52	-14	30.9713	2.82264e+13
52	-12	30.9899	2.87565e+13
